scenario_base,scenario,seed,lookahead_hours,rolling_interval_minutes,ev_total,ev_v2g,ev_car,ev_bus,events_total,queued_events,unserved_events,avg_wait_min,max_wait_min,objective,gen_cost,grid_cost,curt_cost,volt_pen,storage_terminal_value,ev_depart_penalty,ev_unmet_kwh,v2g_reward,avg_depart_soc_v2g,avg_depart_soc_non_v2g
S0,S0_0,104.0000,12.0000,360.0000,1000.0000,585.0000,314.0000,101.0000,11496.0000,863.0000,0.0000,58.6368,194.4500,5037415.8499,1606079.9997,1347079.5620,-0.0001,0,11887.0342,2290764.5592,114538.2280,194621.2367,0.7419,0.8216
S0,S0_1,104.0000,18.0000,360.0000,1000.0000,585.0000,314.0000,101.0000,11496.0000,863.0000,0.0000,58.6368,194.4500,4967914.7572,1606079.9380,1333236.2117,0.0264,0,0,2222794.9047,111139.7452,194196.3236,0.7444,0.8262
S0,S0_2,104.0000,24.0000,360.0000,1000.0000,585.0000,314.0000,101.0000,11496.0000,863.0000,0.0000,58.6368,194.4500,4855379.2054,1606079.9938,1368237.1599,0.0002,0,5874.6816,2070527.1406,103526.3570,183590.4076,0.7610,0.8261
S1,S1_0,1.0000,12.0000,360.0000,1000.0000,583.0000,292.0000,125.0000,11097.0000,639.0000,0.0000,93.2258,215.4500,5176113.9779,1606079.9762,1350584.9113,0,0,11886.9646,2431091.4667,121554.5733,199755.4117,0.7371,0.8220
S1,S1_1,1.0000,18.0000,360.0000,1000.0000,583.0000,292.0000,125.0000,11097.0000,639.0000,0.0000,93.2258,215.4500,5121838.7383,1606079.9912,1340287.7152,0.0336,0,0,2374510.2539,118725.5127,199039.2556,0.7401,0.8257
S1,S1_2,1.0000,24.0000,360.0000,1000.0000,583.0000,292.0000,125.0000,11097.0000,639.0000,0.0000,93.2258,215.4500,4946600.6426,1606079.9986,1376158.9537,-0.0035,0,6087.7754,2164093.6796,108204.6840,193644.2103,0.7599,0.8255
S2,S2_0,115.0000,12.0000,360.0000,1000.0000,579.0000,313.0000,108.0000,11442.0000,703.0000,0.0000,65.8209,184.2500,5090925.5038,1606079.9997,1344972.3162,0,0,11887.0129,2338484.7458,116924.2373,186724.5451,0.7404,0.8213
S2,S2_1,115.0000,18.0000,360.0000,1000.0000,579.0000,313.0000,108.0000,11442.0000,703.0000,0.0000,65.8209,184.2500,5040000.7385,1606079.9997,1330578.7095,0,0,0.0008,2290074.4839,114503.7242,186732.4539,0.7421,0.8246
S2,S2_2,115.0000,24.0000,360.0000,1000.0000,579.0000,313.0000,108.0000,11442.0000,703.0000,0.0000,65.8209,184.2500,4865235.4433,1606080.0004,1369301.8471,-0.0006,0,6201.7269,2072616.8556,103630.8428,176561.5323,0.7630,0.8248
S3,S3_0,119.0000,12.0000,360.0000,1000.0000,588.0000,293.0000,119.0000,11127.0000,761.0000,0.0000,83.9139,236.5167,5176917.0983,1606079.9998,1349948.5919,-0.0013,0.0002,11890.1558,2430173.6832,121508.6842,197395.0197,0.7356,0.8222
S3,S3_1,119.0000,18.0000,360.0000,1000.0000,588.0000,293.0000,119.0000,11127.0000,761.0000,0.0000,83.9139,236.5167,5152944.9887,1606079.9865,1342536.3817,0.0176,0.0010,0.0007,2399706.0580,119985.3029,195377.4554,0.7381,0.8234
S3,S3_2,119.0000,24.0000,360.0000,1000.0000,588.0000,293.0000,119.0000,11127.0000,761.0000,0.0000,83.9139,236.5167,4923237.8551,1606079.9977,1378714.6753,0.0179,0.0012,6158.0784,2136580.1954,106829.0098,191978.9539,0.7580,0.8250
S4,S4_0,125.0000,12.0000,360.0000,1000.0000,592.0000,310.0000,98.0000,11396.0000,874.0000,1.0000,61.9384,191.3167,5028183.2718,1606079.9885,1341519.0894,0.0033,0,11887.0016,2277590.2960,113879.5148,185119.1038,0.7410,0.8211
S4,S4_1,125.0000,18.0000,360.0000,1000.0000,592.0000,310.0000,98.0000,11396.0000,874.0000,1.0000,61.9384,191.3167,4982545.5966,1606079.9595,1332158.5971,-0.0008,0,0.0009,2228231.8806,111411.5940,183924.8389,0.7429,0.8241
S4,S4_2,125.0000,24.0000,360.0000,1000.0000,592.0000,310.0000,98.0000,11396.0000,874.0000,1.0000,61.9384,191.3167,4846292.0438,1606079.9991,1364947.6926,0,0,5765.3400,2056693.8112,102834.6906,175664.1191,0.7605,0.8248
S5,S5_0,132.0000,12.0000,360.0000,1000.0000,611.0000,295.0000,94.0000,11201.0000,810.0000,1.0000,74.9356,196.0500,5024883.0928,1606079.9952,1339611.0219,0,0,11886.9975,2276679.9989,113833.9999,185600.9256,0.7396,0.8202
S5,S5_1,132.0000,18.0000,360.0000,1000.0000,611.0000,295.0000,94.0000,11201.0000,810.0000,1.0000,74.9356,196.0500,4998898.7121,1606080.0000,1329735.7324,0.0001,0,0,2249513.3182,112475.6659,186430.3386,0.7406,0.8215
S5,S5_2,132.0000,24.0000,360.0000,1000.0000,611.0000,295.0000,94.0000,11201.0000,810.0000,1.0000,74.9356,196.0500,4801096.9074,1606079.9998,1364817.7536,-0.0018,0,6273.0563,2012741.4600,100637.0730,176269.2479,0.7618,0.8240
S6,S6_0,133.0000,12.0000,360.0000,1000.0000,582.0000,318.0000,100.0000,11510.0000,806.0000,0.0000,59.4435,173.7167,5019415.2290,1606079.9950,1344612.1101,0,44.8765,11886.9966,2260763.3432,113038.1672,180198.0992,0.7399,0.8248
S6,S6_1,133.0000,18.0000,360.0000,1000.0000,582.0000,318.0000,100.0000,11510.0000,806.0000,0.0000,59.4435,173.7167,4963557.2308,1606079.9959,1334781.0233,0.0068,0.0014,0.0001,2200090.5230,110004.5261,177394.3194,0.7427,0.8280
S6,S6_2,133.0000,24.0000,360.0000,1000.0000,582.0000,318.0000,100.0000,11510.0000,806.0000,0.0000,59.4435,173.7167,4864873.3612,1606079.9985,1369259.3751,-0.0033,0,6326.9381,2066007.4238,103300.3712,170146.4949,0.7571,0.8280
S7,S7_0,145.0000,12.0000,360.0000,1000.0000,579.0000,327.0000,94.0000,11710.0000,1035.0000,0.0000,43.8574,153.1833,5069139.0247,1606079.9991,1345924.1332,0,0,11887.0132,2310406.5682,115520.3284,181384.6626,0.7381,0.8228
S7,S7_1,145.0000,18.0000,360.0000,1000.0000,579.0000,327.0000,94.0000,11710.0000,1035.0000,0.0000,43.8574,153.1833,4996044.0875,1606079.9997,1329578.7725,0,0,0,2241985.2965,112099.2648,181599.9812,0.7408,0.8273
S7,S7_2,145.0000,24.0000,360.0000,1000.0000,579.0000,327.0000,94.0000,11710.0000,1035.0000,0.0000,43.8574,153.1833,4873531.3355,1606080.0016,1366053.8786,0,0,5581.3702,2079637.7879,103981.8894,172658.9623,0.7604,0.8266
S8,S8_0,150.0000,12.0000,360.0000,1000.0000,598.0000,289.0000,113.0000,11037.0000,666.0000,0.0000,93.9084,204.0167,5072277.5406,1606079.9905,1340025.4500,0,0,11886.9700,2330542.6084,116527.1304,192483.5384,0.7410,0.8219
S8,S8_1,150.0000,18.0000,360.0000,1000.0000,598.0000,289.0000,113.0000,11037.0000,666.0000,0.0000,93.9084,204.0167,5041991.3349,1606080.0043,1332263.7334,0.0007,61.7088,0.0002,2295461.4745,114773.0737,191875.5867,0.7435,0.8236
S8,S8_2,150.0000,24.0000,360.0000,1000.0000,598.0000,289.0000,113.0000,11037.0000,666.0000,0.0000,93.9084,204.0167,4863338.2369,1606080.0128,1368774.2204,0,0,6203.9437,2076031.8295,103801.5915,181343.8821,0.7639,0.8246
S9,S9_0,153.0000,12.0000,360.0000,1000.0000,602.0000,297.0000,101.0000,11216.0000,705.0000,0.0000,79.5564,181.3167,5069019.5347,1606079.9827,1347267.7599,0.0001,0,11886.9843,2317314.0202,115865.7010,189755.2438,0.7411,0.8200
S9,S9_1,153.0000,18.0000,360.0000,1000.0000,602.0000,297.0000,101.0000,11216.0000,705.0000,0.0000,79.5564,181.3167,5016292.0486,1606079.9783,1334225.1525,0.0003,0,0.0002,2264544.1820,113227.2091,188557.2642,0.7438,0.8235
S9,S9_2,153.0000,24.0000,360.0000,1000.0000,602.0000,297.0000,101.0000,11216.0000,705.0000,0.0000,79.5564,181.3167,4846509.4495,1606079.9991,1369536.9613,0,0,6236.0175,2058797.9131,102939.8957,181669.4064,0.7638,0.8245
